MOVIE_NM,DRCTR_NM,MAKR_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,VIEWNG_NMPR_CO,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM,CRITIC_RT,VIEWER_RT,YEAR,MONTH,DISTB_CMPNY_COUNT,SUCCESS
프랑스여자,김희정,(주)인벤트스톤,"['(주)디스테이션', '롯데컬처웍스(주)롯데엔터테인먼트']",20200604,개봉영화,장편,한국,244.0,18106.0,6765.0,드라마,15세이상관람가,독립/예술영화,6.67,7.52,2020,06,2,1.0
결백,박상현,(주)이디오플랜,"['소니픽쳐스엔터테인먼트코리아주식회사극장배급지점', '(주)키다리이엔티']",20200610,개봉영화,장편,한국,1112.0,893855.0,217456.0,드라마,15세이상관람가,일반영화,5.67,7.65,2020,06,2,1.0
들리나요?,"김봉한,신승환",(주)영화사장춘,['(주)트리플픽쳐스'],20200610,개봉영화,장편,한국,103.0,3598.0,1570.0,다큐멘터리,전체관람가,독립/예술영화,5.5,9.07,2020,06,1,1.0
아이즈 온 미 : 더 무비,박재석,씨제이포디플렉스 주식회사,['씨제이포디플렉스 주식회사'],20200610,개봉영화,장편,한국,124.0,39228.0,15630.0,공연,전체관람가,일반영화,5.59,9.34,2020,06,1,1.0
바다로 가자,김량,ZONE Film,['ZONE Film'],20200618,개봉영화,장편,한국,15.0,1246.0,977.0,가족,전체관람가,독립/예술영화,6.2,8.14,2020,06,1,1.0
사라진 시간,정진영,"(주)비에이엔터테인먼트,(주)다니필름",['(주)에이스메이커무비웍스'],20200618,개봉영화,장편,한국,874.0,185653.0,43314.0,미스터리,15세이상관람가,일반영화,7.5,4.31,2020,06,1,1.0
야구소녀,최윤태,한국영화아카데미,"['(주)싸이더스', '찬란']",20200618,개봉영화,장편,한국,264.0,36986.0,19840.0,드라마,12세이상관람가,독립/예술영화,6.57,8.13,2020,06,2,1.0
열혈형사,윤여창,굿픽처스,['(주)제이앤씨미디어그룹'],20200618,개봉영화,장편,한국,121.0,2492.0,850.0,코미디,12세이상관람가,일반영화,1.5,3.7,2020,06,1,1.0
#살아있다,조일형,"영화사 집,(주)퍼스펙티브픽쳐스",['롯데컬처웍스(주)롯데엔터테인먼트'],20200624,개봉영화,장편,한국,1882.0,1903703.0,476332.0,드라마,15세이상관람가,일반영화,5.57,4.09,2020,06,1,1.0
김일성의 아이들,김덕영,다큐스토리,['다큐스토리'],20200625,개봉영화,장편,한국,13.0,1667.0,1233.0,다큐멘터리,전체관람가,독립/예술영화,5.59,7.44,2020,06,1,1.0
소리꾼,조정래,주식회사 제이오엔터테인먼트코리아,['(주)리틀빅픽쳐스'],20200701,개봉영화,장편,한국,573.0,79215.0,22306.0,사극,12세이상관람가,일반영화,5.0,8.45,2020,07,1,1.0
"시, 나리오",김동원,썸머트리 주식회사,['(주)노바이앤티'],20200702,개봉영화,장편,한국,18.0,243.0,104.0,드라마,15세이상관람가,독립/예술영화,4.5,4.61,2020,07,1,0.0
욕창,심혜정,제작사 미상,['필름다빈'],20200702,개봉영화,장편,한국,17.0,1288.0,736.0,드라마,12세이상관람가,독립/예술영화,6.8,8.57,2020,07,1,1.0
부활,구수환,(주)중헌홀딩스,['(주)중헌홀딩스'],20200709,개봉영화,장편,한국,83.0,14437.0,4343.0,다큐멘터리,전체관람가,일반영화,5.59,7.44,2020,07,1,1.0
불량한 가족,장재일,(주)발자국 공장,"['(주)스톰픽쳐스코리아', '와이드 릴리즈(주)']",20200709,개봉영화,장편,한국,161.0,4872.0,1889.0,코미디,12세이상관람가,독립/예술영화,2.5,8.06,2020,07,2,1.0
테우리,이난,(주)26컴퍼니,['(주)26컴퍼니'],20200709,개봉영화,장편,한국,16.0,419.0,343.0,드라마,15세이상관람가,독립/예술영화,6.0,6.97,2020,07,1,0.0
반도,연상호,(주)영화사레드피터,['(주)넥스트엔터테인먼트월드(NEW)'],20200715,개봉영화,장편,한국,2575.0,3812080.0,895163.0,액션,15세이상관람가,일반영화,6.17,5.62,2020,07,1,1.0
광주비디오: 사라진 4시간,이조훈,(주)훈프로,['(주)인디플러그'],20200716,개봉영화,장편,한국,70.0,2623.0,1036.0,다큐멘터리,12세이상관람가,독립/예술영화,6.25,4.51,2020,07,1,1.0
프리즈너,양길영,영화사 인연,['(주)박수엔터테인먼트'],20200723,개봉영화,장편,한국,49.0,1681.0,490.0,액션,15세이상관람가,일반영화,2.5,2.98,2020,07,1,1.0
강철비2: 정상회담,양우석,(주)스튜디오게니우스우정,['롯데컬처웍스(주)롯데엔터테인먼트'],20200729,개봉영화,장편,한국,2137.0,1790797.0,441770.0,드라마,15세이상관람가,일반영화,6.64,4.96,2020,07,1,1.0
루비,박한진,(주)펠리스,['주식회사 더쿱'],20200730,개봉영화,장편,한국,12.0,381.0,330.0,드라마,12세이상관람가,독립/예술영화,5.59,7.44,2020,07,1,0.0
어게인,조창열,(주)하늬바람,['(주)에스와이코마드'],20200730,개봉영화,장편,한국,22.0,1027.0,776.0,뮤지컬,12세이상관람가,독립/예술영화,5.59,7.44,2020,07,1,1.0
카오산 탱고,김범삼,제작사 미상,['(주)영화사 그램'],20200730,개봉영화,장편,한국,45.0,3731.0,2483.0,드라마,12세이상관람가,독립/예술영화,3.8,6.92,2020,07,1,1.0
소셜노마드,"마영민,이상묵",제작사 미상,['주식회사 씨엠닉스'],20200801,개봉영화,장편,한국,2.0,56.0,32.0,다큐멘터리,전체관람가,독립/예술영화,5.59,9.56,2020,08,1,0.0
다만 악에서 구하소서,홍원찬,(주)하이브미디어코프,['(주)씨제이이엔엠'],20200805,개봉영화,장편,한국,1998.0,4352669.0,984042.0,범죄,15세이상관람가,일반영화,6.1,7.61,2020,08,1,1.0
오케이 마담,이철하,"영화사올(주),(주)사나이픽처스",['메가박스중앙(주)플러스엠'],20200812,개봉영화,장편,한국,1288.0,1228685.0,238179.0,코미디,15세이상관람가,일반영화,6.13,6.29,2020,08,1,1.0
어서오시게스트하우스,심요한,K'arts,['(주)리틀빅픽쳐스'],20200813,개봉영화,장편,한국,58.0,3573.0,2350.0,드라마,15세이상관람가,독립/예술영화,5.0,8.27,2020,08,1,1.0
늙은 부부이야기: 스테이지 무비,신태연,예술의전당,['예술의전당'],20200819,개봉영화,장편,한국,16.0,432.0,303.0,공연,12세이상관람가,독립/예술영화,5.59,10.0,2020,08,1,0.0
69세,임선애,(주)기린제작사,['(주)엣나인필름'],20200820,개봉영화,장편,한국,105.0,9511.0,6110.0,드라마,15세이상관람가,독립/예술영화,6.0,8.65,2020,08,1,1.0
남매의 여름밤,윤단비,오누필름,['그린나래미디어(주)'],20200820,개봉영화,장편,한국,133.0,21067.0,13367.0,드라마,전체관람가,독립/예술영화,7.83,8.97,2020,08,1,1.0
동아시아반일무장전선,김미례,감 픽쳐스,['아이 엠'],20200820,개봉영화,장편,한국,23.0,992.0,755.0,다큐멘터리,15세이상관람가,독립/예술영화,6.0,7.78,2020,08,1,1.0
