MOVIE_NM,DRCTR_NM,MAKR_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM,CRITIC_RT,VIEWER_RT
아르코 라이브 완창판소리프로젝트2 강산제수궁가,,한국문화예술위원회,한국문화예술위원회,20200414,개봉영화,장편,한국,7.0,917000.0,77.0,198000.0,17.0,공연,전체관람가,일반영화,5.59,
서치 아웃,곽정,(주)디엔와이,"(주)스톰픽쳐스코리아,(주)삼백상회",20200415,개봉영화,장편,한국,355.0,297167000.0,34115.0,64429740.0,7283.0,스릴러,15세이상관람가,독립/예술영화,4.0,4.02
유령선,김지영,(주)왝더독,(주)엣나인필름,20200415,개봉영화,장편,한국,165.0,181933920.0,20784.0,68207300.0,7684.0,다큐멘터리,12세이상관람가,독립/예술영화,6.0,6.16
설화,최형렬,(주)유비네트워크,(주)유비네트워크,20200416,개봉영화,장편,한국,4.0,743000.0,129.0,300000.0,60.0,스릴러,15세이상관람가,독립/예술영화,2.0,6.2
좀비파이터,임지환,스토리웨이브픽쳐스,(주)미로스페이스,20200416,개봉영화,장편,한국,5.0,1137000.0,136.0,801000.0,88.0,공포(호러),15세이상관람가,독립/예술영화,4.0,6.02
그녀의 비밀정원,김인식,(주)인디컴미디어,"(유)조이앤시네마,(주)제이앤씨미디어그룹",20200422,개봉영화,장편,한국,79.0,9966880.0,1254.0,2905860.0,375.0,드라마,15세이상관람가,독립/예술영화,4.25,2.77
대전 블루스,박철웅,"스토리텔러,알리스필름,붐필름,송영철 공작소",(주)마노엔터테인먼트,20200423,개봉영화,장편,한국,2.0,463000.0,79.0,,,드라마,15세이상관람가,독립/예술영화,3.0,3.82
바람의 언덕,박석영,영화사 삼순,영화사 삼순,20200423,개봉영화,장편,한국,28.0,12605900.0,1794.0,7511400.0,1079.0,드라마,전체관람가,독립/예술영화,6.17,8.36
호텔 레이크,윤은경,"(주)이에스픽쳐스,㈜인디스토리",(주)스마일이엔티,20200429,개봉영화,장편,한국,465.0,592223200.0,70019.0,116030900.0,13345.0,공포(호러),15세이상관람가,독립/예술영화,5.33,5.3
저 산 너머,최종태,리온픽쳐스(주),(주)리틀빅픽쳐스,20200430,개봉영화,장편,한국,468.0,772685300.0,103534.0,230447040.0,32623.0,드라마,12세이상관람가,일반영화,5.0,8.22
슈팅걸스,배효민,"새바엔터테인먼트,(주)아이언 스튜디오",(주)영화사오원,20200506,개봉영화,장편,한국,207.0,35823060.0,4587.0,7714740.0,913.0,드라마,12세이상관람가,독립/예술영화,4.5,5.78
아르코라이브 무용 히트 앤 런,,한국문화예술위원회,한국문화예술위원회,20200506,개봉영화,장편,한국,6.0,343000.0,49.0,203000.0,29.0,공연,전체관람가,일반영화,5.59,7.44
죽도 서핑 다이어리,이현승,스튜디오블루(주),(주)에스와이코마드,20200507,개봉영화,장편,한국,2.0,419000.0,125.0,259000.0,97.0,드라마,12세이상관람가,독립/예술영화,5.59,5.62
얼굴없는 보스: 못다한 이야기 감독판,임성용,(주)좋은 하늘,"(주)좋은 하늘,(주)박수엔터테인먼트",20200513,개봉영화,장편,한국,50.0,12157200.0,1662.0,2287840.0,332.0,범죄,15세이상관람가,일반영화,5.59,4.59
고양이 집사,이희섭,엠앤씨에프,㈜인디스토리,20200514,개봉영화,장편,한국,49.0,20472240.0,2399.0,11396820.0,1287.0,다큐멘터리,전체관람가,독립/예술영화,5.5,9.31
범털,강태호,(주)피터팬픽쳐스,(주)피터팬픽쳐스,20200514,개봉영화,장편,한국,48.0,14023560.0,1741.0,3009260.0,340.0,범죄,15세이상관람가,독립/예술영화,5.59,4.73
파도를 걷는 소년,최창환,(주)컬쳐플랫폼,매치컷(주),20200514,개봉영화,장편,한국,25.0,7954220.0,943.0,4837220.0,518.0,드라마,15세이상관람가,독립/예술영화,5.75,6.67
머피와 샐리의 법칙,김문옥,"시네마테크 충무로,스마일픽쳐스",에이 라이프,20200520,개봉영화,장편,한국,1.0,212000.0,106.0,212000.0,106.0,코미디,12세이상관람가,일반영화,5.59,9.5
아르코라이브 의자 고치는 여인,,한국문화예술위원회,(주)아이디어랩,20200520,개봉영화,장편,한국,6.0,1205500.0,102.0,1029500.0,86.0,공연,12세이상관람가,일반영화,5.59,7.44
나는보리,김진유,파도,(주)영화사 진진,20200521,개봉영화,장편,한국,158.0,83320360.0,11579.0,47516440.0,6321.0,가족,전체관람가,독립/예술영화,6.25,9.44
아홉 스님,윤성준,"(주)퍼스트런,우주레이블","(주)퍼스트런,(주)키다리이엔티",20200527,개봉영화,장편,한국,141.0,137625200.0,22330.0,70632000.0,13607.0,드라마,전체관람가,독립/예술영화,5.67,8.76
"안녕, 미누",지혜원,바른미디어,"영화사 풀,(주)영화사 친구",20200527,개봉영화,장편,한국,25.0,22966500.0,2850.0,16308000.0,2020.0,다큐멘터리,12세이상관람가,독립/예술영화,6.75,9.52
초미의 관심사,남연우,(주) 레진스튜디오,(주)트리플픽쳐스,20200527,개봉영화,장편,한국,380.0,128698360.0,16137.0,48236840.0,5682.0,드라마,15세이상관람가,독립/예술영화,6.0,7.41
런 보이 런,오원재,"(주)라온컴퍼니플러스,(주)오아시스이엔티",(주)라온컴퍼니플러스,20200528,개봉영화,장편,한국,25.0,20893740.0,2956.0,11386020.0,1536.0,드라마,15세이상관람가,일반영화,5.59,7.37
