MOVIE_NM,DRCTR_NM,MAKR_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM,CRITIC_RT,VIEWER_RT
미스터 주: 사라진 VIP,김태윤,리양필름(주),"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스",20200122,개봉영화,장편,한국,692.0,5057108660.0,601675.0,985780260.0,115640.0,코미디,12세이상관람가,일반영화,4.5,4.57
히트맨,최원섭,베리굿스튜디오(주),롯데컬처웍스(주)롯데엔터테인먼트,20200122,개봉영화,장편,한국,1122.0,20614278000.0,2406232.0,4072414720.0,472840.0,코미디,15세이상관람가,일반영화,5.59,7.44
작은 빛,조민재,영화사 낭,(주)시네마달,20200123,개봉영화,장편,한국,21.0,15038960.0,1926.0,12428960.0,1427.0,드라마,12세이상관람가,독립/예술영화,8.67,7.26
성혜의 나라,정형석,닷 팩토리,아이 엠,20200130,개봉영화,장편,한국,28.0,14491980.0,1785.0,11110280.0,1275.0,드라마,12세이상관람가,독립/예술영화,6.0,7.41
핑크퐁 시네마 콘서트 : 우주대탐험,변희선,스마트스터디(주),스마트스터디(주),20200130,개봉영화,장편,한국,182.0,118488500.0,15229.0,28184000.0,3700.0,애니메이션,전체관람가,일반영화,5.59,8.81
창은,윤지혜,리슨픽처스,주식회사 씨엠닉스,20200201,개봉영화,장편,한국,1.0,261000.0,70.0,,,드라마,15세이상관람가,독립/예술영화,5.59,8.85
클로젯,김광빈,"(주)영화사 월광,(주)퍼펙트스톰필름",(주)씨제이이엔엠,20200205,개봉영화,장편,한국,1197.0,10920792280.0,1264970.0,2555663920.0,286754.0,미스터리,15세이상관람가,일반영화,5.5,6.39
극장판 미니특공대: 공룡왕 디노,이영준,(주)삼지애니메이션,(주)리틀빅픽쳐스,20200206,개봉영화,장편,한국,485.0,613273720.0,78929.0,84585600.0,10052.0,애니메이션,전체관람가,일반영화,5.0,8.76
정직한 후보,장유정,"(주)수필름,(주)홍필름",(주)넥스트엔터테인먼트월드(NEW),20200212,개봉영화,장편,한국,1187.0,12765456530.0,1525718.0,2843152830.0,331403.0,코미디,12세이상관람가,일반영화,5.75,5.99
혼 : 공포의 시작,유성호,영화사 딴판,(주)드림팩트엔터테인먼트,20200213,개봉영화,장편,한국,9.0,945000.0,131.0,251000.0,32.0,공포(호러),12세이상관람가,독립/예술영화,5.59,4.02
기도하는 남자,강동헌,"영화사 연,클리어마인드스튜디오(주)",(주)랠리버튼,20200220,개봉영화,장편,한국,34.0,13444920.0,1616.0,9145200.0,1067.0,드라마,15세이상관람가,독립/예술영화,6.0,8.3
기억의 전쟁,이길보라,영화사고래,(주)시네마달,20200227,개봉영화,장편,한국,14.0,15925340.0,1882.0,14002940.0,1571.0,다큐멘터리,12세이상관람가,독립/예술영화,6.5,7.48
장마,"이용남,음정현",영화사 무명,영화사 무명,20200227,개봉영화,장편,한국,1.0,12096000.0,1962.0,12079000.0,1945.0,다큐멘터리,전체관람가,독립/예술영화,5.59,9.44
찬실이는 복도 많지,김초희,"(주)지이프로덕션,(주)사이드미러",찬란,20200305,개봉영화,장편,한국,241.0,238095830.0,27672.0,150636530.0,16724.0,드라마,전체관람가,독립/예술영화,7.0,8.78
비행,조성빈,㈜ 써드아이비디오,"아이 엠,케이티하이텔(주)",20200319,개봉영화,장편,한국,128.0,28441440.0,3326.0,16686200.0,1881.0,드라마,15세이상관람가,독립/예술영화,5.8,7.3
산티아고의 흰 지팡이,이종은,제이리미디어,제이리미디어,20200319,개봉영화,장편,한국,21.0,7799460.0,1006.0,5792060.0,708.0,다큐멘터리,전체관람가,독립/예술영화,5.59,8.0
사랑하고 있습니까,김정권,(주)강철필름,주식회사 블루필름웍스,20200325,개봉영화,장편,한국,295.0,102673840.0,12878.0,33305780.0,4066.0,판타지,12세이상관람가,일반영화,3.5,4.71
아르코라이브 뮤지컬 안테모사,"이정민,오미선",한국문화예술위원회,(주)아이디어랩,20200325,개봉영화,장편,한국,16.0,12059500.0,1016.0,6405000.0,536.0,공연,전체관람가,일반영화,5.59,
이장,정승오,㈜인디스토리,㈜인디스토리,20200325,개봉영화,장편,한국,82.0,38933040.0,4878.0,21728940.0,2438.0,드라마,12세이상관람가,독립/예술영화,6.38,8.35
공수도,채여준,"(주)그노스,꿀잼컴퍼니(주)",(주)그노스,20200409,개봉영화,장편,한국,79.0,25089500.0,2950.0,7524500.0,930.0,액션,15세이상관람가,일반영화,5.59,8.75
꼴통 2인조,박준식,"(주)스토리풀,(주)컨텐츠 빌리지",(주)드림팩트엔터테인먼트,20200409,개봉영화,장편,한국,1.0,2000.0,1.0,,,액션,15세이상관람가,독립/예술영화,5.59,3.71
